RowID,FuzzyRisk,JavaFiles,Jlint,DefectCount,LOC,Jlint/LOC,Defect/LOC,Opriv,Upriv,PrivCount,OprivRatio,UPrivRatio
157982,92,2850,537,9,340470,0.15772,0.00264,0,6,2,0,0
163972,100,2052,676,15,234876,0.28781,0.00639,0,1,10,0,10
58203,0,59,11,6,3260,0.33742,0.18405,1,0,3,3,0
141898,50,128,61,3,13492,0.45212,0.02224,1,0,5,5,0
5565,51,474,96,6,42901,0.22377,0.01399,0,3,8,0,2
140555,100,3614,679,6,383401,0.1771,0.00156,1,2,9,9,4
125175,51,1034,243,12,93913,0.25875,0.01278,0,3,6,0,2
28381,92,2618,545,9,304297,0.1791,0.00296,0,6,5,0,0
122187,51,760,198,9,85185,0.23244,0.01057,1,2,5,5,2
127796,51,77,24,5114,7510,0.31957,68.09587,0,0,2,0,0
82069,92,3545,1007,9,446212,0.22568,0.00202,0,1,12,0,12
140266,50,560,170,12,58299,0.2916,0.02058,7,0,19,2,0
4694,51,44,15,9,3124,0.48015,0.28809,1,0,2,2,0
30324,51,254,102,9,24905,0.40956,0.03614,0,6,2,0,0
17722,92,1276,479,9,157882,0.30339,0.0057,1,3,10,10,3
90271,51,1164,329,9,118494,0.27765,0.0076,7,1,17,2,17
122876,51,784,240,6,69820,0.34374,0.00859,0,3,4,0,1
18695,92,2626,930,18,369695,0.25156,0.00487,0,7,3,0,0
121876,50,3707,711,21,410937,0.17302,0.00511,0,10,18,0,1
