Files	LevenDistance	Not a Clone	Clone
kraw_try1.sumprod2b()-kraw_try1.sumprod3e()	11		
kraw_try1.sumprod2b()-kraw_try1.type4a_krawitz()	57		
kraw_try1.sumprod2b()-kraw_try1.sumprod1c()	3		
kraw_try1.sumprod2b()-kraw_try1.foo3()	64		
kraw_try1.sumprod2b()-kraw_try1.sumprod3a()	7		
kraw_try1.sumprod2b()-kraw_try1.type4b_krawitz()	54		
kraw_try1.sumprod2b()-kraw_try1.sumprod3b()	2		
kraw_try1.sumprod2b()-kraw_try1.sumprodo()	3		
kraw_try1.foo2()-kraw_try1.sumprod1b()	63		
kraw_try1.foo2()-kraw_try1.sumprod4c()	61		
kraw_try1.foo2()-kraw_try1.sumprod3d()	61		
kraw_try1.foo2()-kraw_try1.mult()	49		
kraw_try1.foo2()-kraw_try1.main()	93		
kraw_try1.foo2()-kraw_try1.sumprod4d()	66		
kraw_try1.foo2()-kraw_try1.sumprod2d()	63		
kraw_try1.foo2()-kraw_try1.type1b_krawitz()	73		
kraw_try1.foo2()-kraw_try1.type3a_krawitz()	72		
kraw_try1.foo2()-kraw_try1.sumprod2a()	62		
kraw_try1.foo2()-kraw_try1.type2b_krawitz()	72		
kraw_try1.foo2()-kraw_try1.sumprod4a()	63		
kraw_try1.foo2()-kraw_try1.type3b_krawitz()	79		
kraw_try1.foo2()-kraw_try1.type1a_krawitz()	73		
kraw_try1.foo2()-kraw_try1.type4b2_krawitz()	64		
kraw_try1.foo2()-kraw_try1.sumprod4b()	62		
kraw_try1.foo2()-kraw_try1.sumprod2c()	64		
kraw_try1.foo2()-kraw_try1.sumprod3e()	66		
kraw_try1.foo2()-kraw_try1.type4a_krawitz()	80		
kraw_try1.foo2()-kraw_try1.sumprod1c()	63		
kraw_try1.foo2()-kraw_try1.foo3()	12		
kraw_try1.foo2()-kraw_try1.sumprod3a()	63		
kraw_try1.foo2()-kraw_try1.type4b_krawitz()	61		
kraw_try1.foo2()-kraw_try1.sumprod3b()	62		
kraw_try1.foo2()-kraw_try1.sumprodo()	62		
kraw_try1.foo2()-kraw_try1.sumprod2b()	62		
kraw_try1.type2a_krawitz()-kraw_try1.sumprod1b()	39		
kraw_try1.type2a_krawitz()-kraw_try1.sumprod4c()	38		
kraw_try1.type2a_krawitz()-kraw_try1.sumprod3d()	41		
kraw_try1.type2a_krawitz()-kraw_try1.mult()	75		
kraw_try1.type2a_krawitz()-kraw_try1.main()	88		
kraw_try1.type2a_krawitz()-kraw_try1.sumprod4d()	41		
kraw_try1.type2a_krawitz()-kraw_try1.sumprod2d()	38		
kraw_try1.type2a_krawitz()-kraw_try1.type1b_krawitz()	10		
kraw_try1.type2a_krawitz()-kraw_try1.type3a_krawitz()	0		
kraw_try1.type2a_krawitz()-kraw_try1.sumprod2a()	39		
kraw_try1.type2a_krawitz()-kraw_try1.type2b_krawitz()	11		
kraw_try1.type2a_krawitz()-kraw_try1.sumprod4a()	39		
kraw_try1.type2a_krawitz()-kraw_try1.type3b_krawitz()	31		
kraw_try1.type2a_krawitz()-kraw_try1.type1a_krawitz()	10		
kraw_try1.type2a_krawitz()-kraw_try1.type4b2_krawitz()	53		
kraw_try1.type2a_krawitz()-kraw_try1.sumprod4b()	39		
kraw_try1.type2a_krawitz()-kraw_try1.sumprod2c()	40		
kraw_try1.type2a_krawitz()-kraw_try1.sumprod3e()	38		
kraw_try1.type2a_krawitz()-kraw_try1.type4a_krawitz()	47		
kraw_try1.type2a_krawitz()-kraw_try1.sumprod1c()	39		
kraw_try1.type2a_krawitz()-kraw_try1.foo3()	72		
kraw_try1.type2a_krawitz()-kraw_try1.sumprod3a()	38		
kraw_try1.type2a_krawitz()-kraw_try1.type4b_krawitz()	53		
kraw_try1.type2a_krawitz()-kraw_try1.sumprod3b()	39		
kraw_try1.type2a_krawitz()-kraw_try1.sumprodo()	39		
kraw_try1.type2a_krawitz()-kraw_try1.sumprod2b()	39		
kraw_try1.type2a_krawitz()-kraw_try1.foo2()	71		
kraw_try1.sumprod3c()-kraw_try1.sumprod1b()	10		
kraw_try1.sumprod3c()-kraw_try1.sumprod4c()	13		
kraw_try1.sumprod3c()-kraw_try1.sumprod3d()	14		
kraw_try1.sumprod3c()-kraw_try1.mult()	72		
kraw_try1.sumprod3c()-kraw_try1.main()	89		
kraw_try1.sumprod3c()-kraw_try1.sumprod4d()	25		
kraw_try1.sumprod3c()-kraw_try1.sumprod2d()	10		
kraw_try1.sumprod3c()-kraw_try1.type1b_krawitz()	36		
kraw_try1.sumprod3c()-kraw_try1.type3a_krawitz()	35		
kraw_try1.sumprod3c()-kraw_try1.sumprod2a()	11		
kraw_try1.sumprod3c()-kraw_try1.type2b_krawitz()	36		
kraw_try1.sumprod3c()-kraw_try1.sumprod4a()	10		
kraw_try1.sumprod3c()-kraw_try1.type3b_krawitz()	52		
kraw_try1.sumprod3c()-kraw_try1.type1a_krawitz()	36		
kraw_try1.sumprod3c()-kraw_try1.type4b2_krawitz()	59		
kraw_try1.sumprod3c()-kraw_try1.sumprod4b()	10		
kraw_try1.sumprod3c()-kraw_try1.sumprod2c()	21		
kraw_try1.sumprod3c()-kraw_try1.sumprod3e()	15		
kraw_try1.sumprod3c()-kraw_try1.type4a_krawitz()	53		
kraw_try1.sumprod3c()-kraw_try1.sumprod1c()	9		
kraw_try1.sumprod3c()-kraw_try1.foo3()	66		
kraw_try1.sumprod3c()-kraw_try1.sumprod3a()	10		
kraw_try1.sumprod3c()-kraw_try1.type4b_krawitz()	55		
kraw_try1.sumprod3c()-kraw_try1.sumprod3b()	11		
kraw_try1.sumprod3c()-kraw_try1.sumprodo()	10		
kraw_try1.sumprod3c()-kraw_try1.sumprod2b()	11		
kraw_try1.sumprod3c()-kraw_try1.foo2()	66		
kraw_try1.sumprod3c()-kraw_try1.type2a_krawitz()	35		
kraw_try1.sumprod1a()-kraw_try1.sumprod1b()	0		
kraw_try1.sumprod1a()-kraw_try1.sumprod4c()	10		
