AppName,Genre,UserRating,LowerDownloads,isJavaAnalyze,AndroRisk,Jlint,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount
Puzzle Forge,Puzzle,4.3,100000,0,51,476,6,133713,1,2,6
Dragon Diamond: Jewelry Puzzle,Puzzle,4,10000,0,92,635,9,372376,0,7,2
Hardest Cube Game,Puzzle,2.8,50000,0,92,322,72,123677,0,7,8
Tic Tac Toe,Puzzle,4.2,10000,0,51,447,9,207413,0,3,5
Jewel Star Saga,Puzzle,4,10000,0,92,1112,12,390358,0,5,4
Diamond Mine,Puzzle,4,10000,0,51,382,9,109517,0,3,6
Ludo 3D Extreme,Puzzle,3.8,50000,0,51,205,6,54730,0,4,5
Jewel Myth,Puzzle,4,100000,0,92,228,6,73898,0,5,10
Tic-Tac-Touch,Puzzle,3.9,100000,0,50,377,3676,114045,3,2,4
Jewel Quest,Puzzle,4,500000,0,92,227,6,73766,0,5,12
Brain Squares Free,Puzzle,4.3,10000,0,51,319,6,79548,0,2,11
Chinese Chess 9 Levels,Puzzle,3.7,50000,0,92,111,9,44916,1,2,12
??? for Kakao,Puzzle,3.6,500000,0,50,304,12,104103,4,2,2
?????????,Puzzle,3.8,100000,0,51,202,68837,59564,0,6,2
Cow Cannon,Puzzle,4,50000,0,92,868,6,469829,0,5,3
Color Confusion Free,Puzzle,3.4,10000,0,51,339,12,98591,0,7,6
