Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,JLINT_LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
2,Music & Audio,4,10000,585,9,0.0026112,724,317,129,0,2,2,4,27872,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
2,Sports,3.4,10000,300,6,0.002706,318,51,22,0,6,2,2,11846,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,92
2,Arcade,4.2,100000,389,6,0.0053171,479,113,48,3,5,2,4,5666,1,0,1,1,0,0,0,0,0,0,2,4,0,1,0,5,0,0,0,1,50
2,Social,3.8,1000,48,6,0.0010602,60,14,6,0,1,2,0,69688,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
2,Social,4.2,10000000,1907,12,0.0029108,2823,1175,432,2,1,7,3,9599,0,0,0,1,0,0,0,0,0,0,6,8,0,1,0,8,0,0,1,0,50
2,Casino,4.2,100000,1990,12,0.0015366,4370,2820,565,3,2,2,2,29683,0,0,1,1,0,0,0,0,0,0,2,6,0,1,0,4,0,0,1,0,51.11111111
2,Communication,4,100000,1203,12,0.0030522,1986,789,309,0,2,7,11,5841,0,1,1,1,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,92
2,Casual,3.3,100000,41,3,0.006038,39,2,1,0,3,3,5,23519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Puzzle,4.1,5000,2799,6,0.0029827,3695,2221,456,0,1,7,5,28453,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,92
2,Books & Reference,4,100000,222,3354,0.0025931,259,91,35,6,1,2,9,6192,0,0,1,1,0,0,0,0,0,0,3,1,0,1,0,6,1,0,0,2,50
2,Communication,4.5,1000,26,3,0,33,10,5,2,1,2,7,32207,0,0,1,0,0,0,0,0,0,0,2,0,2,0,4,4,0,0,0,0,50
2,Books & Reference,4.2,1000,311,6,0.0041869,386,55,23,1,1,2,14,7144,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,51.11111111
2,Tools,4.2,10000,573,6,0.0025363,793,344,136,0,1,2,0,71403,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
2,Productivity,3,100000,872,6,0.0025135,1179,511,177,7,0,0,12,18761,0,0,1,1,0,0,0,0,0,0,7,4,1,1,1,10,0,0,0,1,50
